region_1,country,coordinates
Cafayate,Argentina,"[-26.0730798, -65.976052]"
Mendoza,Argentina,"[-32.8894587, -68.8458386]"
Salta,Argentina,"[-24.7821269, -65.4231976]"
Luján de Cuyo,Argentina,"[-33.0391038, -68.8798644]"
San Juan,Argentina,"[-31.5351074, -68.5385941]"
Uco Valley,Argentina,"[-33.600036, -69.282703]"
Perdriel,Argentina,"[-33.0764292, -68.8868944]"
Tupungato,Argentina,"[-33.0764292, -68.8868944]"
Valle de Uco,Argentina,"[-33.0764292, -68.8868944]"
Calchaquí Valley,Argentina,"[-26.0746237, -65.9783082]"
Vista Flores,Argentina,"[-33.6509809, -69.1558647]"
Maipú,Argentina,"[-33.6509809, -69.1558647]"
Patagonia,Argentina,"[-33.6509809, -69.1558647]"
Alto Valle del Rio Negro,Argentina,"[-40.00988419999999, -65.3927206]"
La Consulta,Argentina,"[-33.7339291, -69.1199066]"
Agrelo,Argentina,"[-33.1194013, -68.8868944]"
Neuquen,Argentina,"[-38.9516784, -68.0591888]"
Rio Negro Valley,Argentina,"[-41.05556, -71.15194]"
La Rioja,Argentina,"[-29.4135, -66.8565]"
Famatina Valley,Argentina,"[-34.6462843, -58.4101518]"
Argentina,Argentina,"[-38.416097, -63.61667199999999]"
Tulum Valley,Argentina,"[-31.5496953, -68.5583846]"
Buenos Aires,Argentina,"[-34.6036844, -58.3815591]"
Jujuy,Argentina,"[-24.1843397, -65.302177]"
San Carlos,Argentina,"[-41.1334722, -71.3102778]"
Pedernal Valley,Argentina,"[-31.995736, -68.764927]"
Zonda Valley,Argentina,"[-31.550, -68.76]"
Medrano,Argentina,"[-33.1775166, -68.6113055]"
Altos de Mendoza,Argentina,"[-32.90107, -68.842846]"
San Rafael,Argentina,"[-34.6129, -68.3391]"
Catamarca,Argentina,"[-28.4715877, -65.7877209]"
South Australia,Australia,"[-30.0002315, 136.2091547]"
McLaren Vale,Australia,"[-35.2210309, 138.5461247]"
Padthaway,Australia,"[-36.6270289, 140.433893]"
Adelaide Hills,Australia,"[-34.9062557, 138.8397403]"
Barossa Valley,Australia,"[-34.5333333, 138.95]"
Rutherglen,Australia,"[-36.055556, 146.4625]"
Barossa,Australia,"[-34.5333333, 138.95]"
Heathcote,Australia,"[-36.916667, 144.7]"
Clare Valley,Australia,"[-33.8335699, 138.61]"
Yarra Valley,Australia,"[-35.7403876, 147.6562318]"
Great Southern,Australia,"[-30.0002315, 136.2091547]"
South Eastern Australia,Australia,"[-27.6728168, 148.3716902]"
Tasmania,Australia,"[-41.4545196, 145.9706647]"
Mornington Peninsula,Australia,"[-38.2854053, 145.093449]"
Australia,Australia,"[-33.8688, 151.2093]"
Coonawarra,Australia,"[-37.28746, 140.8553875]"
Goulburn Valley,Australia,"[-36.8212556, 145.5833979]"
Margaret River,Australia,"[-33.955, 115.075]"
Langhorne Creek,Australia,"[-35.29625559999999, 139.038277]"
Pemberton,Australia,"[-34.44, 116.05]"
Frankland River,Australia,"[-34.351814, 117.0654331]"
Geographe,Australia,"[-33.6373407, 115.3815343]"
Western Australia,Australia,"[-27.6728168, 121.6283098]"
Adelaide Plains,Australia,"[-34.6057239, 138.7136193]"
Eden Valley,Australia,"[-34.6546423, 139.1009757]"
Adelaide,Australia,"[-34.9284989, 138.6007456]"
Victoria,Australia,"[-37.4713077, 144.7851531]"
Clarendon,Australia,"[-35.1054491, 138.6297435]"
Hunter Valley,Australia,"[-32.1932173, 151.700565]"
Central Ranges,Australia,"[-23.740669, 133.3459744]"
Limestone Coast,Australia,"[-36.7235617, 140.3481835]"
Pyrenees,Australia,"[-37.227898, 143.372670]"
King Valley,Australia,"[-36.695189, 146.397486]"
Central Victoria,Australia,"[-37.4713077, 144.7851531]"
Southern Flinders Ranges,Australia,"[-31.4166667, 138.75]"
Nagambie Lakes,Australia,"[-36.7842847, 145.1417222]"
Riverina,Australia,"[-35, 146.0]"
Wrattonbully,Australia,"[-37.1624826, 140.9351108]"
McLaren Vale-Adelaide Hills,Australia,"[-35.2462077, 138.55089]"
Lenswood,Australia,"[-34.9172455, 138.8315666]"
Mudgee,Australia,"[-32.6144566, 149.5733291]"
Orange,Australia,"[-33.7174708, 149.100]"
New South Wales,Australia,"[-31.2532183, 146.921099]"
Bendigo,Australia,"[-36.7570157, 144.2793906]"
Mount Barker,Australia,"[-35.0809029, 138.8634671]"
Southern Fleurieu,Australia,"[-35.5, 138.5]"
Grampians,Australia,"[-37.2108819, 142.3979571]"
Currency Creek,Australia,"[-35.4373405, 138.7586849]"
Piccadilly Valley,Australia,"[-34.983333, 138.733333]"
Beechworth,Australia,"[-36.3533015, 146.6877247]"
Swan Hill,Australia,"[-35.3396318, 143.5524803]"
Murray-Darling,Australia,"[-35.4092603, 143.762027]"
Western Plains,Australia,"[-32.2785846, 148.5817624]"
Kangaroo Island,Australia,"[-35.7752426, 137.2142417]"
McLaren Vale-Langhorne Creek,Australia,"[-35.2210309, 138.5461247]"
Hilltops,Australia,"[-33.2581632, 149.0866321]"
Barossa-Langhorne Creek,Australia,"[-34.5333333, 138.95]"
Currency Creek-McLaren Vale,Australia,"[-35.4373405, 138.7586849]"
Gippsland,Australia,"[-37.5831982, 147.4627259]"
Strathbogie Ranges,Australia,"[-36.9, 145.75]"
Clare Valley-Coonawarra,Australia,"[-33.8335699, 138.61]"
Gundagai,Australia,"[-35.0566492, 148.102061]"
Mount Barker & Margaret River,Australia,"[-33.729102, 151.0206633]"
McLaren Vale-Padthaway,Australia,"[-35.1028334, 138.5568379]"
Tumbarumba,Australia,"[-35.7694861, 148.0057003]"
Henty,Australia,"[-35.52, 147.035]"
Geelong,Australia,"[-38.1499181, 144.3617186]"
Alpine Valleys,Australia,"[-36.728235, 146.948375]"
Southern Highlands,Australia,"[-34.5479968, 150.3037323]"
Clare Valley-Eden Valley,Australia,"[-34.6546423, 139.1009757]"
Australia-New Zealand,Australia,"[-30.0, 140.0]"
Riverland,Australia,"[-34.3142878, 139.8547266]"
Fleurieu Peninsula,Australia,"[-35.5, 138.5]"
Langhorne Creek-Limestone Coast,Australia,"[-35.29625559999999, 139.038277]"
Barossa-Adelaide Hills,Australia,"[-35.1136345, 138.8725113]"
Niagara-On-The-Lake,Canada,"[43.2549988, -79.0772616]"
Niagara Peninsula,Canada,"[43.0039796, -79.2684368]"
Okanagan Valley,Canada,"[49.8879519, -119.4960106]"
Niagara Escarpment,Canada,"[44.7180522, -87.5950953]"
Beamsville Bench,Canada,"[43.1588749, -79.4921643]"
Lake Erie North Shore,Canada,"[42.005108, -82.962464]"
St. David's Bench,Canada,"[43.16364, -79.0997125]"
British Columbia,Canada,"[53.7266683, -127.6476205]"
Prince Edward County,Canada,"[44.0003383, -77.25049369999999]"
Short Hills Bench,Canada,"[43.1076511, -79.2871392]"
Similkameen Valley,Canada,"[49.1922372, -120.1272108]"
Canada,Canada,"[56.130366, -106.346771]"
Alsace,France,"[48.3181795, 7.441624099999999]"
Beaujolais-Villages,France,"[46.106524, 4.779053]"
Beaujolais,France,"[46.1134349, 4.7263863]"
Brouilly,France,"[45.844705, 4.40916]"
Bordeaux Blanc,France,"[44.89079580000001, -0.503366]"
Champagne,France,"[48.9168895, 4.151432499999999]"
Chablis,France,"[47.815269, 3.800450999999999]"
Mâcon-Milly Lamartine,France,"[46.3486649, 4.6979559]"
Vin de France,France,
Juliénas,France,"[46.235505, 4.709970999999999]"
Régnié,France,"[46.136803, 4.64105]"
Saint-Émilion,France,"[44.89438699999999, -0.155729]"
Cahors,France,"[44.4475229, 1.441989]"
Moulin-à-Vent,France,"[48.5266531, 0.9893989]"
Madiran,France,"[43.549639, -0.057621]"
St.-Romain,France,"[46.99825800000001, 4.708748]"
Côtes du Rhône,France,"[45.7895449, 5.179355]"
Vacqueyras,France,"[44.13846299999999, 4.982689]"
Vin de Pays des Côtes de Gascogne,France,"[43.8588747, 0.088527]"
Saint-Estèphe,France,"[45.2648099, -0.7717824]"
Arbois,France,"[46.902851, 5.772342]"
Côte de Nuits-Villages,France,
Languedoc,France,"[43.5912356, 3.2583626]"
Coteaux Varois en Provence,France,"[43.39375099999999, 6.040819]"
Montrachet,France,"[46.945092, 4.753296]"
Clos de Vougeot,France,"[47.1748181, 4.955178999999999]"
Chassagne-Montrachet,France,"[46.937992, 4.729560999999999]"
Criots-Bâtard-Montrachet,France,"[46.9447821, 4.7539203]"
Graves,France,"[45.045842, 6.304705999999999]"
Muscadet Sèvre et Maine,France,"[47.131625, -1.410248]"
Meursault,France,"[46.97822499999999, 4.768746]"
Chambolle-Musigny,France,"[47.185496, 4.952888]"
Pomerol,France,"[44.9298292, -0.2010233]"
Côtes du Rhône Villages,France,"[45.5165578, 4.8512987]"
Côtes de Provence,France,"[43.44632319999999, 6.4699991]"
Mercurey,France,"[46.833678, 4.721636999999999]"
Coteaux d'Aix-en-Provence,France,"[43.6029999, 5.3409089]"
Côtes de Provence Sainte-Victoire,France,"[43.7047696, 7.310175399999999]"
Bordeaux Supérieur,France,"[44.86110739999999, -0.5571789]"
Costières de Nîmes,France,"[43.8145777, 4.344352499999999]"
Bordeaux,France,"[44.837789, -0.57918]"
Mâcon-Villages,France,"[46.3068839, 4.828730999999999]"
Côte Chalonnaise,France,"[46.771428, 4.696702999999999]"
Chorey-lès-Beaune,France,"[47.048887, 4.86904]"
Coteaux Bourguignons,France,"[48.1218388, 4.3854847]"
Saint-Véran,France,"[44.700836, 6.868570999999999]"
Médoc,France,"[44.556862, -0.038418]"
Haut-Médoc,France,"[45.1360842, -0.7534255]"
Fronsac,France,"[44.924318, -0.2712629]"
Margaux,France,"[45.042035, -0.677519]"
Côtes de Gascogne,France,"[43.8588747, 0.088527]"
Côtes du Lot,France,"[44.5379358, 1.6760691]"
Beaujolais Rosé,France,"[46.2358688, 4.7097814]"
Marsannay,France,"[47.270302, 4.988667]"
Gevrey-Chambertin,France,"[47.225962, 4.968738999999999]"
Beaune,France,"[47.02603000000001, 4.840004]"
Minervois,France,
Blaye Côtes de Bordeaux,France,"[45.127331, -0.662843]"
Gaillac,France,"[43.9018159, 1.896506]"
Sancerre,France,"[47.329583, 2.839867]"
Montravel,France,"[44.859834, 0.052954]"
Quincy,France,"[47.13223499999999, 2.156712]"
Pouilly-Fumé,France,
Vin de Pays d'Oc,France,"[43.570642, 3.877218]"
Monbazillac,France,"[44.793529, 0.492161]"
Patrimonio,France,"[42.706531, 9.369553999999999]"
Saumur-Champigny,France,"[47.2399073, -0.0198986]"
Gers,France,"[43.6366479, 0.4502368]"
Crémant de Jura,France,"[46.6603643, 5.5649]"
Vin de Liqueur,France,
Crémant de Bourgogne,France,"[47.7229429, 3.6283236]"
Pouilly-Fuissé,France,"[46.289074, 4.740289]"
Montagne-Saint-Émilion,France,"[44.89438699999999, -0.155729]"
Menetou-Salon,France,"[47.2320769, 2.488352]"
Fronton,France,"[43.840098, 1.389654]"
Bergerac,France,"[44.853806, 0.483392]"
Bordeaux Rosé,France,"[44.855275, -0.570292]"
Les Baux de Provence,France,"[43.743887, 4.795495000000001]"
Bandol,France,"[43.136418, 5.754186]"
Châteauneuf-du-Pape,France,"[44.056556, 4.831281000000001]"
Nuits-St.-Georges,France,"[47.137985, 4.9503199]"
Chénas,France,"[46.212457, 4.719626]"
Jurançon,France,"[43.287723, -0.390892]"
Saumur,France,"[47.260135, -0.08089299999999999]"
Pessac-Léognan,France,"[44.727859, -0.59709]"
Saint-Julien,France,"[45.165884, -0.74085]"
Pauillac,France,"[45.199585, -0.746212]"
Lalande de Pomerol,France,"[44.955821, -0.210858]"
Cadillac Côtes de Bordeaux,France,
Touraine,France,"[47.3020954, 0.6921741]"
Reuilly,France,"[47.085426, 2.041587]"
Entre-Deux-Mers,France,"[44.8, -0.28333]"
Hermitage,France,"[48.1275, -1.8179]"
Sauternes,France,"[44.531032, -0.343268]"
Vin de Savoie,France,"[45.557242, 6.109712]"
Castillon Côtes de Bordeaux,France,"[44.8533003, -0.0436106]"
Mediterranée,France,
Francs Côtes de Bordeaux,France,"[44.945889, -0.006346999999999999]"
Chiroubles,France,"[46.180983, 4.665474]"
Saint-Amour,France,"[46.4363219, 5.345254]"
Coteaux du Languedoc,France,"[43.6751197, 3.4798336]"
Côtes de Bourg,France,"[45.419253, 2.383115]"
Saint-Georges-Saint-Émilion,France,"[44.8854098, -0.1533505]"
Bergerac Sec,France,"[48.9256884, 2.478422]"
Morgon,France,"[46.143967, 4.6782106]"
Listrac-Médoc,France,"[45.073918, -0.793207]"
Lussac Saint-Émilion,France,"[44.949033, -0.096263]"
Tavel,France,"[44.01293, 4.698161]"
Santenay,France,"[46.912833, 4.696534]"
Puligny-Montrachet,France,"[46.945092, 4.753296]"
Moulis-en-Médoc,France,"[45.06023700000001, -0.7675419]"
Rosé de Loire,France,"[46.227638, 2.213749]"
Côtes de Bordeaux,France,"[50.5958255, 3.0788483]"
Vin Mousseux,France,"[46.227638, 2.213749]"
Givry,France,"[46.78307, 4.742662999999999]"
Buzet,France,"[44.258058, 0.298192]"
Corse,France,"[42.0396042, 9.012892599999999]"
Muscadet Côtes de Grandlieu,France,
Maury Sec,France,"[48.8548364, 2.463108]"
Côtes du Roussillon Villages Caramany,France,"[42.73508, 2.570433]"
Irrouléguy,France,
Ile de Beauté,France,
Pays d'Oc,France,
Gard,France,"[43.9446996, 4.1513764]"
Bordeaux Clairet,France,
Fleurie,France,"[46.192646, 4.6974557]"
Anjou Villages Brissac,France,"[47.356497, -0.448862]"
Bonnezeaux,France,"[47.276972, -0.485391]"
Bourgogne Hautes Côtes de Nuits,France,"[47.1492182, 4.890554799999999]"
Crémant d'Alsace,France,"[48.6221769, 7.4839214]"
Mâcon-Péronne,France,"[46.438691, 4.809830000000001]"
Maranges,France,"[46.895502, 4.669665999999999]"
Saint-Bris,France,"[47.744005, 3.647396]"
Rivesaltes,France,"[42.768583, 2.871763000000001]"
Charmes-Chambertin,France,"[46.227638, 2.213749]"
Condrieu,France,"[45.4617223, 4.7680113]"
Mâcon-Chardonnay,France,"[46.302479, 4.816992]"
Ladoix,France,"[47.06605, 4.886973999999999]"
Viré-Clessé,France,"[46.448616, 4.842058]"
Mâcon-Fuissé,France,"[46.280354, 4.742589]"
Vin de Pays des Cévennes,France,"[44.4317226, 3.7027594]"
Luberon,France,"[43.796111, 5.223889]"
Faugères,France,"[43.5655659, 3.188741]"
Crémant de Limoux,France,"[43.045432, 2.170958]"
Picpoul de Pinet,France,"[43.3876953, 3.5056998]"
Côtes du Marmandais,France,"[44.4564126, 0.018692]"
Coteaux du Layon,France,"[47.3095233, -0.5909492]"
Cornas,France,"[44.963733, 4.847392]"
Savennières,France,"[47.383101, -0.656999]"
Ventoux,France,"[44.1740851, 5.2786797]"
Chinon,France,"[47.167296, 0.240385]"
Vouvray,France,"[47.412068, 0.799248]"
Crémant de Loire,France,"[47.2702304, -0.1047236]"
Vosne-Romanée,France,"[47.159051, 4.954572]"
Saint-Nicolas-de-Bourgueil,France,"[47.284852, 0.12535]"
Roussette de Savoie,France,"[45.5055649, 6.0035737]"
Côtes de Nuits Villages,France,"[47.13176259999999, 4.9721271]"
Bourgogne Hautes Côtes de Beaune,France,"[47.01346580000001, 4.815776100000001]"
Saint-Aubin,France,"[48.7142277, 2.1452278]"
Barsac,France,"[44.607906, -0.317094]"
Pernand-Vergelesses,France,"[47.084575, 4.851313]"
Auxey-Duresses,France,"[46.986357, 4.747390999999999]"
Savigny-lès-Beaune,France,"[47.063402, 4.817946]"
Mâcon-Verze,France,"[46.376678, 4.734818]"
Saint-Joseph,France,
Vin de Pays Var,France,
Volnay,France,"[47.00151, 4.781618]"
Quarts de Chaume,France,
Cheverny,France,"[47.49973, 1.46013]"
Anjou,France,"[45.34546599999999, 4.880489]"
Pécharmant,France,"[44.8777913, 0.5207563]"
Minervois La Liviniere,France,"[43.32940199999999, 2.619386]"
Corbières,France,"[43.054859, 1.997267]"
Côtes du Jura,France,"[46.76247499999999, 5.6729159]"
Corton Les Renardes,France,"[46.227638, 2.213749]"
Coteaux du Giennois,France,"[46.227638, 2.213749]"
Aloxe-Corton,France,"[47.065692, 4.85994]"
Coteaux Varois,France,"[43.39375099999999, 6.040819]"
Vin de Pays du Val de Loire,France,"[47.5532402, 1.0105289]"
Bourgogne,France,"[47.0525047, 4.3837215]"
Petit Chablis,France,"[47.8120357, 3.8024908]"
Bâtard-Montrachet,France,"[46.9447821, 4.7539203]"
Chevalier-Montrachet,France,"[46.9447821, 4.7539203]"
Puisseguin Saint-Émilion,France,"[44.925099, -0.074307]"
Mâcon-Azé,France,"[46.431348, 4.7612249]"
Morey-Saint-Denis,France,"[47.195673, 4.962496]"
Corton-Charlemagne,France,"[47.0676505, 4.85854]"
Pommard,France,"[47.00931, 4.795325]"
Grands-Echezeaux,France,"[46.227638, 2.213749]"
Mazis-Chambertin,France,
Vin de Pays du Comté Tolosan,France,"[46.227638, 2.213749]"
Bordeaux Côtes de Francs ,France,
Savoie,France,"[45.4932, 6.4724]"
Palette,France,"[43.510449, 5.4936109]"
Var,France,"[43.46764599999999, 6.2375947]"
Val de Loire,France,"[47.5532402, 1.0105289]"
Coteaux du Languedoc Pic Saint Loup,France,"[43.780392, 3.813078]"
Hautes Côtes de Nuits,France,"[47.1492182, 4.890554799999999]"
La Clape,France,"[43.158333, 3.1]"
Gigondas,France,"[44.163231, 5.0041804]"
Bourgueil,France,"[47.282487, 0.168611]"
Saint-Croix-du-Mont,France,"[44.5942859, -0.284518]"
Côte de Brouilly,France,"[45.844705, 4.40916]"
Mâcon-Pierreclos,France,"[46.334809, 4.686364999999999]"
Sainte-Foy Bordeaux,France,"[44.8480803, -0.5727173]"
Saint-Chinian,France,"[43.418646, 2.945129]"
Crozes-Hermitage,France,"[45.09032, 4.846723]"
Pouilly-Vinzelles,France,"[46.2739409, 4.7777653]"
Macon-Bussières,France,"[46.338504, 4.701625]"
Corse Porto Vecchio,France,"[41.591369, 9.278311]"
Côtes du Roussillon Villages Tautavel,France,"[42.813662, 2.745716]"
Côtes du Roussillon Villages,France,"[42.7001964, 3.0099495]"
Mâcon,France,"[46.3068839, 4.828730999999999]"
Fixin,France,"[47.24534, 4.972309]"
Corton,France,"[47.065692, 4.85994]"
Latricières-Chambertin,France,
Premieres Côtes de Blaye,France,"[45.126841, -0.662941]"
Montagny,France,"[45.620885, 4.747657999999999]"
Vin de Pays des Côtes Catalanes,France,"[46.227638, 2.213749]"
Côtes du Tarn,France,"[43.89926699999999, 1.895374]"
Côtes de Provence La Londe,France,"[43.1376536, 6.2375712]"
Coteaux du Layon Chaume,France,"[47.322534, -0.635508]"
Côtes de Bergerac,France,"[44.790031, -0.118248]"
Pacherenc du Vic Bilh,France,"[46.227638, 2.213749]"
Echézeaux,France,"[47.16536199999999, 4.979823]"
La Grande Rue,France,
Clos de la Roche,France,"[48.006852, -1.823946]"
Vougeot,France,"[47.176617, 4.962975]"
Mâcon-Vergisson,France,"[46.30963, 4.716371]"
Mâcon-Cruzille,France,"[46.5019335, 4.8762583]"
Collines Rhôdaniennes,France,
Clairette de Die Méthode Dioise Ancestrale,France,"[44.7601577, 5.357141299999999]"
Jurançon Sec,France,"[43.26972869999999, -0.4231319]"
Maury,France,"[42.811253, 2.593028]"
Muscat de Rivesaltes,France,"[42.7468364, 2.903213]"
Vin de Table Francais,France,
Atlantique,France,"[47.27804680000001, -1.8157647]"
Muscadet,France,"[45.4226585, -0.2853445]"
Chignin-Bergeron,France,"[45.514997, 6.0194833]"
Beaujolais Blanc,France,"[46.227638, 2.213749]"
Mâcon La Roche Vineuse,France,"[46.34679200000001, 4.719113]"
Côtes du Roussillon Les Aspres,France,"[48.68974799999999, 0.599399]"
Côtes du Roussillon,France,"[46.227638, 2.213749]"
Beaujolais-Leynes,France,"[46.2677996, 4.729654399999999]"
Côtes de Duras,France,"[44.683659, 0.200972]"
Fitou,France,"[42.893306, 2.978041]"
Chambertin Clos de Bèze,France,"[47.465224, 5.275158999999999]"
Corton-Rognet,France,"[46.227638, 2.213749]"
Corton Vergennes,France,"[47.073505, 4.875509]"
Chapelle-Chambertin,France,"[47.18759379999999, 4.9447879]"
Anjou Villages,France,"[45.34546599999999, 4.880489]"
Cadillac,France,"[44.63702199999999, -0.320481]"
Sable de Camargue,France,"[43.5861991, 4.1973077]"
Côtes Catalanes,France,
Vin de Pays Cité de Carcassonne,France,"[43.2060816, 2.3641961]"
Coteaux d'Ancenis,France,"[47.4580871, -1.1763526]"
Cabernet de Saumur,France,"[47.260135, -0.08089299999999999]"
Bourgogne Gamay,France,
Côtes de Castillon,France,"[44.8533003, -0.0436106]"
Côte de Beaune,France,"[47.01346580000001, 4.815776100000001]"
Rosé d'Anjou,France,"[48.7775725, 2.3456149]"
Coteaux du Vendômois,France,"[47.6584551, 1.2631801]"
Montlouis-sur-Loire,France,"[47.38826400000001, 0.827383]"
Vin de Pays du Lot,France,"[44.43589240000001, 1.4427503]"
Marcillac,France,"[44.474899, 2.462587]"
Bourgogne Epineuil,France,"[47.874593, 3.980885]"
Côtes-du-Ventoux,France,"[44.1160541, 5.1771508]"
Saint-Mont,France,"[43.650444, -0.147616]"
Crémant de Bordeaux,France,"[44.9359477, -0.1369457]"
Mâcon-Lugny,France,"[46.471672, 4.80982]"
Rully,France,
Bonnes-Mares,France,"[48.85736259999999, 2.3572223]"
Rasteau,France,"[44.231277, 4.986897]"
Vin de Pays des Maures,France,"[43.39095400000001, 6.341426999999999]"
Premieres Côtes de Bordeaux,France,"[44.7670329, -0.4880479]"
Bourgogne Aligoté,France,
Saint-Romain,France,"[46.99825800000001, 4.708748]"
Muscat de Saint-Jean de Minervois,France,"[43.3841279, 2.833104]"
Banyuls,France,"[42.48343, 3.128874]"
Cévennes,France,"[44.4317226, 3.7027594]"
